requirement_id,requirement,design_documents,milestones,acceptance,status,implementation_evidence,operator_steps_or_tradeoffs
R01,Invoke full agent harness as API,02-runtime.md;04-api.md,M2;M4,API-to-supervisor-to-result contract,implemented_local_acceptance,tests/integration/platform.test.ts;tests/fixtures/native-mock.mjs,Live Vercel/model execution awaits operator configuration and explicit spending approval.
R02,Codex Claude Code OpenCode launch,02-runtime.md,M4,Each pinned adapter suite,implemented_local_acceptance,tests/fixtures/native-mock.mjs;infra/runtime.Dockerfile,Three actual pinned binaries accepted against loopback fixtures; each enabled live route needs a smoke test.
R03,Model and harness separate,02-runtime.md;04-api.md,M4,Reject unsupported catalog combinations,implemented_local_acceptance,tests/integration/gateway.test.ts;packages/core/src/catalog.ts,Only configured catalog combinations are offered; production rate cards are operator inputs.
R04,Poll SSE completion webhooks,02-runtime.md;04-api.md,M2,Disconnect replay delivery tests,implemented_local_acceptance,tests/integration/platform.test.ts;tests/integration/webhooks.test.ts;tests/cli/terminal.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R05,Persistent project files,03-workspaces.md,M3,Replace sandbox and continue files,implemented_local_acceptance,tests/integration/cloud.test.ts;tests/fixtures/native-mock.mjs,See the implementation record for local evidence and the launch guide for production configuration.
R06,Ignored private files persist,03-workspaces.md,M3,Gitignored file restore without push,implemented_local_acceptance,tests/fixtures/native-mock.mjs;tests/git.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R07,Concurrent agents isolated branches,03-workspaces.md,M3,Two clone execution test,implemented_local_acceptance,tests/cli/terminal.test.ts;tests/git.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R08,GitHub optional auto clean merge push,03-workspaces.md,M3,Clean merge and remote advance,implemented_local_acceptance,tests/git-sync.test.ts;tests/integration/github-webhooks.test.ts,Real local Git smart HTTP and signed webhook fixtures; live GitHub App permission/protection acceptance required.
R09,Conflicts protections data preserved,03-workspaces.md,M3,No force push or rerun on sync retry,implemented_local_acceptance,tests/git-sync.test.ts;tests/integration/cloud.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R10,View edit upload download files,03-workspaces.md;07-dashboard.md,M6,ETag conflict path safety browser flow,implemented_local_acceptance,tests/browser/files.spec.ts;tests/browser/drafts.spec.ts;tests/integration/direct-upload.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R11,Current and historical runs tools outputs,02-runtime.md;07-dashboard.md,M6,Partial and final history replay,implemented_local_acceptance,tests/browser/dashboard.spec.ts;tests/integration/platform.test.ts,See the implementation record for local evidence and the launch guide for production configuration.
R12,Exposed reasoning summaries,02-runtime.md;07-dashboard.md,M4;M6,Provider exposed data only,implemented_local_acceptance,packages/runtime/src;apps/web/components/runs.tsx,Only exposed provider summaries are stored; hidden chain of thought is unavailable.
